ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE
15	tʰ a.m ᴬ/⁵⁵	15	171	bear (animal)	ProtoKaren	*thamᴬ	tʰ a.m ᴬ/⁵⁵	*thamᴬ		
16	g.r a.m ᴬ/⁵⁵	16	182	bedbug	ProtoKaren	*gramᴬ	g.r a.m ᴬ/⁵⁵	*gramᴬ		
17	k.w a.t/t̚ ᴰ/⁵¹	17	191	bee (Apis cerana)	ProtoKaren	*kwatᴰ	k.w a.t/t̚ ᴰ/⁵¹	*kwatᴰ		
18	k Ø/ə Ø/⁰ + hn/n̥ e ᴬ/⁵⁵	18	204 203	bee (Apis dorsata)	ProtoKaren	*k-hneᴬ	k Ø/ə Ø/⁰ + hn/n̥ e ᴬ/⁵⁵	*k-hneᴬ		
19	j ɨ.m ᴮ/¹¹	19	217	believe	ProtoKaren	*jɨmᴮ	j ɨ.m ᴮ/¹¹	*jɨmᴮ		
20	l a.ʔ/ʔ̚ ᴰ/⁵¹	20	224	below, under, underneath	ProtoKaren	*~laɁᴰ	l a.ʔ/ʔ̚ ᴰ/⁵¹	*~laɁᴰ		
21	ˀd o ᴮ/¹¹	21	242	big, large	ProtoKaren	*Ɂdoᴮ	ˀd o ᴮ/¹¹	*Ɂdoᴮ		
22	tʰ o ᴮ/¹¹	22	253	bird	ProtoKaren	*thoᴮ	tʰ o ᴮ/¹¹	*thoᴮ		
23	ʔ ɛ.ɴ ᴮ/¹¹	23	264	bite (v.)	ProtoKaren	*ɁɛNᴮ	ʔ ɛ.ɴ ᴮ/¹¹	*ɁɛNᴮ		
24	kʰ a ᴮ/¹¹	24	275	bitter	ProtoKaren	*khaᴮ	kʰ a ᴮ/¹¹	*khaᴮ		
25	s.w i ᴮ/¹¹	25	288	blood	ProtoKaren	*swiᴮ	s.w i ᴮ/¹¹	*swiᴮ		
26	ʔ u ᴬ/⁵⁵	26	302	blow (a fire)	ProtoKaren	*Ɂuᴬ	ʔ u ᴬ/⁵⁵	*Ɂuᴬ		
27	tʰ ɔ.ʔ/ʔ̚ ᴰ/⁵¹ + m i ᴬ/⁵⁵	27	315 316	boar (wild~)	ProtoKaren	*thɔɁᴰmiᴬ	tʰ ɔ.ʔ/ʔ̚ ᴰ/⁵¹ + m i ᴬ/⁵⁵	*thɔɁᴰmiᴬ	pig wild	
28	!k/kʰ.l ei ᴬ/⁵⁵	28	336	boat	ProtoKaren	*klejᴬ	!k/kʰ.l ei ᴬ/⁵⁵	*klejᴬ	boat	
29	kʰ.r ei ᴮ/¹¹	29	348	body dirt	ProtoKaren	*khrejᴮ	kʰ.r ei ᴮ/¹¹	*khrejᴮ		
30	pʰ.r ɔ ᴬ/⁵⁵	30	359	boil (v.)	ProtoKaren	*phrɔᴬ	pʰ.r ɔ ᴬ/⁵⁵	*phrɔᴬ		
31	kʰ.r.w i.t ᴰ/⁵¹	31	371	bone	ProtoKaren	*khrwitᴰ	kʰ.r.w i.t ᴰ/⁵¹	*khrwitᴰ		
32	s.r ei ᴮ/¹¹	32	383	braid	ProtoKaren	*srejᴮ	s.r ei ᴮ/¹¹	*srejᴮ		
33	Ø/kʰ Ø/o Ø/⁵⁵ + n o.k/k̚ ᴰ/⁵¹	33	17 394	brain	ProtoKaren	*nokᴰ	Ø/kʰ Ø/o Ø/⁵⁵ + n o.k/k̚ ᴰ/⁵¹	*nokᴰ		
34	pʰ e ᴬ/⁵⁵	34	408	bran,chaff	ProtoKaren	*pheᴬ	pʰ e ᴬ/⁵⁵	*pheᴬ		
35	n u ᴮ/¹¹	35	420	breasts	ProtoKaren	*nuᴮ	n u ᴮ/¹¹	*nuᴮ		
36	p a.ʔ/ʔ̚ ᴰ/⁵¹	36	431	broken, split, separate	ProtoKaren	*paɁᴰ	p a.ʔ/ʔ̚ ᴰ/⁵¹	*paɁᴰ		
37	p|b/p Ø/ə.!Ø/ʔ̚ Ø/⁰ + n a ᴮ/¹¹	37	444 445	buffalo	ProtoKaren	*p|b-naᴮ	p|b/p Ø/ə.!Ø/ʔ̚ Ø/⁰ + n a ᴮ/¹¹	*p/b-naᴮ		
38	b.r e ᴬ/⁵⁵	38	469	buy	ProtoKaren	*breᴬ	b.r e ᴬ/⁵⁵	*breᴬ		
39	pʰ.r u.ɴ ᴬ/⁵⁵	39	495	caress	ProtoKaren	*phruNᴬ	pʰ.r u.ɴ ᴬ/⁵⁵	*phruNᴬ		
40	p ɨ ᴮ/¹¹	40	506	carry (on the back)	ProtoKaren	*pɨᴮ	p ɨ ᴮ/¹¹	*pɨᴮ		
41	s i.ʔ ᴰ/⁵¹	41	514	caterpillar	ProtoKaren	*siɁᴰ	s i.ʔ ᴰ/⁵¹	*siɁᴰ		
42	k u ᴬᴮ/⁵⁵	42	527	catfish	ProtoKaren	*~kuᴬᴮ	k u ᴬᴮ/⁵⁵	*~kuᴬ/ᴮ		
44	k ɨ ᴬ/⁵⁵	43	483	carapace, shell	ProtoKaren	*kɨᴬ	k ɨ ᴬ/⁵⁵	*kɨᴬ		
46	t|d/t a.ʔ/ʔ̚ ᴰ/⁵¹ + ˀb a.ŋ ᴬ/⁵⁵	44	537 538	centipede	ProtoKaren	*t|daɁᴰɁbaŋᴬ	t|d/t a.ʔ/ʔ̚ ᴰ/⁵¹ + ˀb a.ŋ ᴬ/⁵⁵	*t/daɁᴰɁbaŋᴬ		
47	!k/kʰ.w i ᴮ/¹¹	45	555	chameleon	ProtoKaren	*kwiᴮ	!k/kʰ.w i ᴮ/¹¹	*kwiᴮ		
48	s.w */ua ᴮ/¹¹	46	567	charcoal	ProtoKaren	*swaᴮ	s.w */ua ᴮ/¹¹	*swaᴮ		
49	cʰ.j a.ɴ ᴬ/⁵⁵	47	579	chicken	ProtoKaren	*chjaNᴬ	cʰ.j a.ɴ ᴬ/⁵⁵	*chjaNᴬ	chicken	
50	h a.t/t̚ ᴰ/⁵¹	48	592	chili pepper, pungent	ProtoKaren	*hatᴰ	h a.t/t̚ ᴰ/⁵¹	*hatᴰ		
51	!k/kʰ a ᴮ/¹¹	49	603	chin, jaw	ProtoKaren	*kaᴮ	!k/kʰ a ᴮ/¹¹	*kaᴮ		
52	ŋ.j ai ᴬ/⁵⁵	50	616	cicada	ProtoKaren	*ŋjajᴬ	ŋ.j ai ᴬ/⁵⁵	*ŋjajᴬ		
53	tʰ u ᴮ/¹¹	51	625	civet cat	ProtoKaren	*thuᴮ	tʰ u ᴮ/¹¹	*thuᴮ		
54	s ei ᴮ/¹¹	52	646	classifier (hand of bananas)	ProtoKaren	*sejᴮ	s ei ᴮ/¹¹	*sejᴮ		
55	ˀb a ᴮ/¹¹	53	666	classifier for flat objects	ProtoKaren	*Ɂbaᴮ	ˀb a ᴮ/¹¹	*Ɂbaᴮ		
56	b.r a ᴬ/⁵⁵	54	696	classifier for people, persons	ProtoKaren	*braᴬ	b.r a ᴬ/⁵⁵	*braᴬ		
57	p.l ɔ.ŋ ᴮ/¹¹	55	656	classifier for a piece of meat, cake, etc.	ProtoKaren	*plɔŋᴮ	p.l ɔ.ŋ ᴮ/¹¹	*plɔŋᴮ		
58	kʰ o ᴮ/¹¹	56	709	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)	ProtoKaren	*khoᴮ	kʰ o ᴮ/¹¹	*khoᴮ		
59	pʰ.l o.ŋ ᴮ/¹¹	57	634	classfier for round objects	ProtoKaren	*phloŋᴮ	pʰ.l o.ŋ ᴮ/¹¹	*phloŋᴮ		
60	ˀb ɔ.ɴ ᴬ/⁵⁵	58	686	classifier for long objects	ProtoKaren	*ɁbɔNᴬ	ˀb ɔ.ɴ ᴬ/⁵⁵	*ɁbɔNᴬ	neck-classifier	
61	ˀd ə ᴬ/⁵⁵	59	677	classifier for four-legged animals	ProtoKaren	*Ɂdəᴬ	ˀd ə ᴬ/⁵⁵	*Ɂdəᴬ		
62	ˀb i ᴮ/¹¹	60	716	close (one’s eyes)	ProtoKaren	*Ɂbiᴮ	ˀb i ᴮ/¹¹	*Ɂbiᴮ		
63	kʰ.w i.t ᴰ/⁵¹	61	725	comb (v.)	ProtoKaren	*khwitᴰ	kʰ.w i.t ᴰ/⁵¹	*khwitᴰ		
64	hl/l̥ ou ᴮ/¹¹	62	737	cotton thread	ProtoKaren	*hlowᴮ	hl/l̥ ou ᴮ/¹¹	*hlowᴮ		
65	!k/kʰ u.k/k̚ ᴰ/⁵¹	63	750	cough (v.)	ProtoKaren	*kukᴰ	!k/kʰ u.k/k̚ ᴰ/⁵¹	*kukᴰ		
66	cʰ.w ɛ ᴮ/¹¹	64	763	crab	ProtoKaren	*chwɛᴮ	cʰ.w ɛ ᴮ/¹¹	*chwɛᴮ		
67	s Ø/ə Ø/⁰ + k i ᴬ/⁵⁵	65	777 776	cricket	ProtoKaren	*s-kiᴬ	s Ø/ə Ø/⁰ + k i ᴬ/⁵⁵	*s-kiᴬ		
68	s Ø/ə Ø/⁰ + hm/m̥ a ᴮ/¹¹	66	789 788	crocodile	ProtoKaren	s-hmaᴮ	s Ø/ə Ø/⁰ + hm/m̥ a ᴮ/¹¹	s-hmaᴮ		
69	k Ø/ə Ø/⁰ + hn/n̥ i ᴬ/⁵⁵	67	800 801	crop (of fowl), gizzard	ProtoKaren	*k-hniᴬ	k Ø/ə Ø/⁰ + hn/n̥ i ᴬ/⁵⁵	*k-hniᴬ		
70	kʰ a.ɴ ᴬ/⁵⁵	68	815	cross (v.)	ProtoKaren	*khaNᴬ	kʰ a.ɴ ᴬ/⁵⁵	*khaNᴬ		
71	!k/kʰ.l ei ᴮ/¹¹	69	823	crossbow	ProtoKaren	*klejᴮ	!k/kʰ.l ei ᴮ/¹¹	*klejᴮ		
72	ʔ o ᴮ/¹¹	70	835	crow (v.)	ProtoKaren	*Ɂoᴮ	ʔ o ᴮ/¹¹	*Ɂoᴮ		
73	k Ø/ə Ø/⁰ + hn/n̥ ɔ.ɴ ᴮ/¹¹	71	849 848	crush (v.)	ProtoKaren	*k-hnɔNᴮ	k Ø/ə Ø/⁰ + hn/n̥ ɔ.ɴ ᴮ/¹¹	*k-hnɔNᴮ		
74	ˀd ei ᴬ/⁵⁵	72	859	cucumber	ProtoKaren	*Ɂdejᴬ	ˀd ei ᴬ/⁵⁵	*Ɂdejᴬ		
75	kʰ i.ʔ/ʔ̚ ᴰ/⁵¹	73	870	dark, late evening	ProtoKaren	*khiɁᴰ	kʰ i.ʔ/ʔ̚ ᴰ/⁵¹	*khiɁᴰ		
76	ˀd ɛ ᴮ/¹¹	74	883	daughter-in-law	ProtoKaren	*Ɂdɛᴮ	ˀd ɛ ᴮ/¹¹	*Ɂdɛᴮ		
77	n ei ᴬ/⁵⁵	75	894	day	ProtoKaren	*nejᴬ	n ei ᴬ/⁵⁵	*nejᴬ		
78	s ei ᴬ/⁵⁵	76	906	dead,die	ProtoKaren	*sejᴬ	s ei ᴬ/⁵⁵	*sejᴬ		
79	ʔ ə.ŋ ᴬ/⁵⁵	77	918	deaf	ProtoKaren	*Ɂəŋᴬ	ʔ ə.ŋ ᴬ/⁵⁵	*Ɂəŋᴬ		
80	j ɔ.ʔ/ʔ̚ ᴰ/⁵¹	78	930	deep	ProtoKaren	*jɔɁᴰ	j ɔ.ʔ/ʔ̚ ᴰ/⁵¹	*jɔɁᴰ		
81	d Ø/ə Ø/⁰ + kʰ ei ᴬ/⁵⁵	79	943 942	deer (barking~)	ProtoKaren	*d-khejᴬ	d Ø/ə Ø/⁰ + kʰ ei ᴬ/⁵⁵	*d-khejᴬ		
82	t Ø/ə Ø/⁰ + kʰ.r o.ʔ ᴰ/⁵¹	80	954 953	deer (sambha ~)	ProtoKaren	*t-khroɁᴰ	t Ø/ə Ø/⁰ + kʰ.r o.ʔ ᴰ/⁵¹	*t-khroɁᴰ		
83	ʔ.w i ᴮ/¹¹	81	969	delicious	ProtoKaren	*Ɂwiᴮ	ʔ.w i ᴮ/¹¹	*Ɂwiᴮ		
84	l a.ŋ ᴬ/⁵⁵	82	979	descent, go down, set	ProtoKaren	*_laŋᴬ	l a.ŋ ᴬ/⁵⁵	* laŋᴬ		
85	kʰ u ᴮ/¹¹	83	992	dig	ProtoKaren	*khuᴮ	kʰ u ᴮ/¹¹	*khuᴮ		
86	ˀd Ø/ə.ŋ/ŋ ᴮ/¹¹	84	1003	dip up	ProtoKaren	*ɁdNᴮ	ˀd Ø/ə.ŋ/ŋ ᴮ/¹¹	*Ɂd( )Nᴮ		
87	tʰ ə.ɴ ᴬ/⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	ProtoKaren	*thəNᴬ	tʰ ə.ɴ ᴬ/⁵⁵	*thəNᴬ		
88	m a ᴮ/¹¹	86	1013	disappear, lost	ProtoKaren	*maᴮ	m a ᴮ/¹¹	*maᴮ		
89	tʰ.w i ᴮ/¹¹	87	1040	dog	ProtoKaren	*thwiᴮ	tʰ.w i ᴮ/¹¹	*thwiᴮ	dog	
90	m a ᴬ/⁵⁵	88	1027	do, make	ProtoKaren	*maᴬ	m a ᴬ/⁵⁵	*maᴬ		
91	l.w i ᴮ/¹¹	89	1053	dove	ProtoKaren	*lwiᴮ	l.w i ᴮ/¹¹	*(thoᴮ)lwiᴮ		
92	m a.ŋ ᴮ/¹¹	90	1065	dream (v.)	ProtoKaren	*maŋᴮ	m a.ŋ ᴮ/¹¹	*maŋᴮ	dream	
93	ʔ ɔ ᴬ/⁵⁵	91	1080	drink(v.)	ProtoKaren	Ɂɔᴬ	ʔ ɔ ᴬ/⁵⁵	Ɂɔᴬ		
94	hl/l̥ o ᴬ/⁵⁵	92	1104	dry(v.)	ProtoKaren	*hloᴬ	hl/l̥ o ᴬ/⁵⁵	*hloᴬ		
95	m.w ɨ.ɴ ᴬ/⁵⁵	93	1091	drunk	ProtoKaren	*mwɨNᴬ	m.w ɨ.ɴ ᴬ/⁵⁵	*mwɨNᴬ		
96	ʔ e ᴮ/¹¹	94	1116	dung, excrement	ProtoKaren	*_Ɂeᴮ	ʔ e ᴮ/¹¹	* Ɂeᴮ		
97	n a ᴮ/¹¹	95	1129	ear	ProtoKaren	*naᴮ	n a ᴮ/¹¹	*naᴮ	ear	
98	j ɛ.ʔ ᴰ/⁵¹	96	1142	earthworm	ProtoKaren	*jɛɁᴰ	j ɛ.ʔ ᴰ/⁵¹	*jɛɁᴰ		
99	hɲ/ɲ̊ au ᴬ/⁵⁵	97	1150	easy	ProtoKaren	*hɲawᴬ	hɲ/ɲ̊ au ᴬ/⁵⁵	*hɲawᴬ		
100	ʔ a.m ᴮ/¹¹	98	1160	eat	ProtoKaren	*Ɂamᴮ	ʔ a.m ᴮ/¹¹	*Ɂamᴮ		
101	ˀd ei ᴮ/¹¹	99	1173	egg	ProtoKaren	*Ɂdejᴮ	ˀd ei ᴮ/¹¹	*Ɂdejᴮ		
102	s Ø/ə Ø/⁰ + g a.ŋ/ŋ ᴬ/⁵⁵	100	1187 1186	eggplant	ProtoKaren	*s-gaNᴬ	s Ø/ə Ø/⁰ + g a.ŋ/ŋ ᴬ/⁵⁵	*s-gaNᴬ		
103	g|kʰ/kʰ.r ɔ.t ᴰ/⁵¹	101	1195	eight	ProtoKaren	*khrɔtᴰ	g|kʰ/kʰ.r ɔ.t ᴰ/⁵¹	*khrɔtᴰ/*grɔtᴰ		
105	k Ø/ə Ø/⁰ + cʰ a.ŋ ᴬ/⁵⁵	102	1209 1207	elephant	ProtoKaren	*k-chaŋᴬ	k Ø/ə Ø/⁰ + cʰ a.ŋ ᴬ/⁵⁵	*k-chaŋᴬ		
106	pʰ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	103	1226	embrace, hug	ProtoKaren	*_phɔɁᴰ	pʰ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	* phɔɁᴰ		
107	n Ø/ə.ʔ ᴰ/⁵¹	104	1237	enter	ProtoKaren	*nɁᴰ	n Ø/ə.ʔ ᴰ/⁵¹	*n( )Ɂᴰ		
108	cʰ u.ɴ ᴬ/⁵⁵	105	1247	exert forcing to expel	ProtoKaren	*chuNᴬ	cʰ u.ɴ ᴬ/⁵⁵	*chuNᴬ		
109	p|b/p i.ʔ/ʔ̚ ᴰ/⁵¹	106	1255	extinguish (t.v.)	ProtoKaren	*p|biɁᴰ	p|b/p i.ʔ/ʔ̚ ᴰ/⁵¹	*p/biɁᴰ		
110	m ɛ.ʔ/ʔ̚ ᴰ/⁵¹	107	1268	eye, face	ProtoKaren	*mɛɁᴰ	m ɛ.ʔ/ʔ̚ ᴰ/⁵¹	*mɛɁᴰ		
111	d ɛ.ʔ/ʔ̚ ᴰ/⁵¹	108	1277	fall down	ProtoKaren	*dɛɁᴰ	d ɛ.ʔ/ʔ̚ ᴰ/⁵¹	*dɛɁᴰ		
112	ˀb.l u.ŋ ᴮ/¹¹	109	1290	fat (adj)	ProtoKaren	*Ɂbluŋᴮ	ˀb.l u.ŋ ᴮ/¹¹	*Ɂbluŋᴮ		
113	cʰ u.ɴ ᴮ/¹¹	110	1301	feather, fur, body hair	ProtoKaren	*chuNᴮ	cʰ u.ɴ ᴮ/¹¹	*chuNᴮ		
114	k ə.ʔ/ʔ̚ ᴰ/⁵¹	111	1314	feel full (after eating)	ProtoKaren	*kəɁᴰ	k ə.ʔ/ʔ̚ ᴰ/⁵¹	*kəɁᴰ		
115	hm/m̥ ɨ ᴮ/¹¹	112	1337	female, woman	ProtoKaren	*hmɨᴮ	hm/m̥ ɨ ᴮ/¹¹	*hmɨᴮ		
116	m u ᴮ/¹¹	113	1323	female (humans), mother	ProtoKaren	*muᴮ	m u ᴮ/¹¹	*muᴮ		
117	hm/m̥ e ᴮ/¹¹	114	1350	fire	ProtoKaren	*hmeᴮ	hm/m̥ e ᴮ/¹¹	*hmeᴮ		
118	d a.ʔ/ʔ̚ ᴰ/⁵¹	115	1363	fish	ProtoKaren	*daɁᴰ	d a.ʔ/ʔ̚ ᴰ/⁵¹	*daɁᴰ		
119	ŋ.j a.t/t̚ ᴰ/⁵¹	116	1372	five	ProtoKaren	*ŋjatᴰ	ŋ.j a.t/t̚ ᴰ/⁵¹	*ŋjatᴰ		
120	r ə.ʔ/ʔ̚ ᴰ/⁵¹	117	1385	flank, rib	ProtoKaren	*_rəɁᴰ	r ə.ʔ/ʔ̚ ᴰ/⁵¹	* rəɁᴰ		
121	p.j a ᴮ/¹¹	118	1397	flat	ProtoKaren	*pjaᴮ	p.j a ᴮ/¹¹	*pjaᴮ		
122	!k/kʰ.l i ᴬ/⁵⁵	119	6	flea	ProtoKaren	*kliᴬ	!k/kʰ.l i ᴬ/⁵⁵	*kliᴬ/*kliɁᴰ		
123	!k/kʰ.l i.ʔ ᴰ/⁵¹	119	1407	flea	ProtoKaren	*kliɁᴰ	!k/kʰ.l i.ʔ ᴰ/⁵¹	*kliᴬ/*kliɁᴰ		
124	hɲ/ɲ̊ a ᴮ/¹¹	120	1422	flesh, meat	ProtoKaren	*hɲaᴮ	hɲ/ɲ̊ a ᴮ/¹¹	*hɲaᴮ		
125	pʰ ɔ ᴬ/⁵⁵	121	1432	flower	ProtoKaren	*phɔᴬ	pʰ ɔ ᴬ/⁵⁵	*phɔᴬ		
126	s Ø/ə Ø/⁰ + b e.ŋ ᴬ/⁵⁵	122	1456 1455	forget	ProtoKaren	*s-beŋᴬ	s Ø/ə Ø/⁰ + b e.ŋ ᴬ/⁵⁵	*s-beŋᴬ		
127	k.l a ᴬ/⁵⁵	123	1443	forest, jungle	ProtoKaren	*_klaᴬ	k.l a ᴬ/⁵⁵	* klaᴬ		
128	tʰ.w i ᴮ/¹¹ + m i ᴬ/⁵⁵	125	1040 316	fox, wolf	ProtoKaren	*thwiᴮmiᴬ	tʰ.w i ᴮ/¹¹ + m i ᴬ/⁵⁵	*thwiᴮmiᴬ	dog wild	
129	ˀd e ᴮ/¹¹	126	1498	frog	ProtoKaren	*Ɂdeᴮ	ˀd e ᴮ/¹¹	*Ɂdeᴮ	frog	
130	hŋ/ŋ̊ a ᴬ/⁵⁵	127	1511	front	ProtoKaren	*hŋaᴬ	hŋ/ŋ̊ a ᴬ/⁵⁵	*hŋaᴬ		
131	s a ᴮ/¹¹	128	1519	fruit	ProtoKaren	*saᴮ	s a ᴮ/¹¹	*saᴮ		
132	p.w ɛ ᴬ/⁵⁵	129	1530	full	ProtoKaren	*pwɛᴬ	p.w ɛ ᴬ/⁵⁵	*pwɛᴬ		
133	ʔ e.ŋ ᴬ/⁵⁵	130	1539	ginger	ProtoKaren	*Ɂeŋᴬ	ʔ e.ŋ ᴬ/⁵⁵	*Ɂeŋᴬ		
134	l.w ɛ ᴬ/⁵⁵	131	1554	go	ProtoKaren	*lwɛᴬ	l.w ɛ ᴬ/⁵⁵	*lwɛᴬ		
135	ˀd.w ɛ ᴮ/¹¹	132	1577	grasshopper	ProtoKaren	*Ɂdwɛᴮ	ˀd.w ɛ ᴮ/¹¹	*Ɂdwɛᴮ		
136	l ei ᴬ/⁵⁵	133	1565	grandchild	ProtoKaren	*lejᴬ	l ei ᴬ/⁵⁵	*lejᴬ		
137	l o ᴬ/⁵⁵	134	1588	great-grandchild	ProtoKaren	*loᴬ	l o ᴬ/⁵⁵	*loᴬ		
138	l a ᴬ/⁵⁵	135	1599	great-great-gandchild	ProtoKaren	*laᴬ	l a ᴬ/⁵⁵	*laᴬ		
139	kʰ u ᴮ/¹¹ + !sl/l u ᴬ/⁵⁵	136	1611 1612	hair (head~)	ProtoKaren	*khuᴮsluᴬ	kʰ u ᴮ/¹¹ + !sl/l u ᴬ/⁵⁵	*khuᴮsluᴬ	*khuB hair/lu	
140	d o ᴮ/¹¹	137	1632	handle	ProtoKaren	*doᴮ	d o ᴮ/¹¹	*doᴮ		
141	k.l Ø/ə.ŋ ᴮ/¹¹	138	1643	hat	ProtoKaren	*~klŋᴮ	k.l Ø/ə.ŋ ᴮ/¹¹	*~kl( )ŋᴮ		
142	l e.k̚ ᴰ/⁵¹	139	1664	hawk, eagle	ProtoKaren	*lekᴰ	l e.k̚ ᴰ/⁵¹	*lekᴰ		
143	ʔ ɔ ᴮ/¹¹	140	1652	have, be, exist, stay, there is	ProtoKaren	*Ɂɔᴮ	ʔ ɔ ᴮ/¹¹	*Ɂɔᴮ	exist	
144	k.l ə.ʔ/ʔ̚ ᴰ/⁵¹	141	1676	head	ProtoKaren	*kləɁᴰ	k.l ə.ʔ/ʔ̚ ᴰ/⁵¹	*kləɁᴰ	head	
145	s a.ʔ/ʔ̚ ᴰ/⁵¹	142	1687	heart	ProtoKaren	*saɁᴰ	s a.ʔ/ʔ̚ ᴰ/⁵¹	*saɁᴰ		
146	tʰ ə ᴮ/¹¹	143	1700	heavy	ProtoKaren	*thəᴮ	tʰ ə ᴮ/¹¹	*thəᴮ		
147	s.r ɔ ᴮ/¹¹	144	1708	hemp	ProtoKaren	*srɔᴮ	s.r ɔ ᴮ/¹¹	*srɔᴮ		
148	g.l a.m ᴮ/¹¹	145	1720	hip	ProtoKaren	*_glamᴮ	g.l a.m ᴮ/¹¹	* glamᴮ		
149	d o.ŋ ᴮ/¹¹	146	1732	hit hard (with a fist)	ProtoKaren	*doŋᴮ	d o.ŋ ᴮ/¹¹	*doŋᴮ		
150	n o.ŋ ᴬ/⁵⁵	147	1742	horn	ProtoKaren	*noŋᴬ	n o.ŋ ᴬ/⁵⁵	*noŋᴬ		
151	pʰ.r ɨ.ɴ ᴬ/⁵⁵	148	1755	hornet	ProtoKaren	*phrɨNᴬ	pʰ.r ɨ.ɴ ᴬ/⁵⁵	*phrɨNᴬ		
152	k Ø/ə.!Ø/ʔ Ø/⁰ + s.r e ᵀ/³³	149	1768 1767	horse	ProtoKaren	*k-sreᵀ	k Ø/ə.!Ø/ʔ Ø/⁰ + s.r e ᵀ/³³	*k-sreᵀ		
153	g Ø/ə Ø/⁰ + r.j a ᴬ/⁵⁵	150	1787 1786	hundred	ProtoKaren	*g-rjaᴬ	g Ø/ə Ø/⁰ + r.j a ᴬ/⁵⁵	*g-rjaᴬ		
154	g.w a ᴬ/⁵⁵	151	1803	husband	ProtoKaren	*gwaᴬ	g.w a ᴬ/⁵⁵	*gwaᴬ		
155	cʰ a ᴬ/⁵⁵	152	1815	ill, painful, sick	ProtoKaren	*chaᴬ	cʰ a ᴬ/⁵⁵	*chaᴬ		
156	g.r a ᴮ/¹¹	153	1829	insect	ProtoKaren	*graᴮ	g.r a ᴮ/¹¹	*graᴮ	insect	
157	b.r e.ʔ/ʔ̚ ᴰ/⁵¹	154	1840	intestines	ProtoKaren	*breɁᴰ	b.r e.ʔ/ʔ̚ ᴰ/⁵¹	*breɁᴰ		
158	tʰ a.ʔ/ʔ̚ ᴰ/⁵¹	155	1853	iron	ProtoKaren	*thaɁᴰ	tʰ a.ʔ/ʔ̚ ᴰ/⁵¹	*thaɁᴰ		
159	s a.ʔ/ʔ̚ ᴰ/⁵¹	156	1866	itchy	ProtoKaren	*saɁᴰ	s a.ʔ/ʔ̚ ᴰ/⁵¹	*saɁᴰ		
160	k Ø/ə Ø/⁰ + l e ᴮ/¹¹	157	1879 1878	kidney	ProtoKaren	*k-leᴮ	k Ø/ə Ø/⁰ + l e ᴮ/¹¹	*k-leᴮ		
